stamp_ns,time_sec,tb1_odom_x_m,tb1_odom_y_m,tb1_odom_yaw_rad,tb2_odom_x_m,tb2_odom_y_m,tb2_odom_yaw_rad,uwb_range_m,uwb_sync_ms,camera_bearing_deg,camera_range_m,camera_uwb_residual_m,gt_x_m,gt_y_m,gt_yaw_rad
601400031365,601.400031365,18.238324218949618,14.490649870292234,-0.09908474847094952,1.7694724781376638,-17.976389192917022,-2.59910595578515,4.8362,-0.003463,38.96466522815623,4.941411636882834,0.10521163688283419,3.854793974179322,2.7315970576568382,-1.5111349503717564
601500031371,601.500031371,18.281422341107476,14.48676596264856,-0.1056281254012794,1.716890835000774,-18.0115929260461,-2.5960579797319734,4.7633,-0.003469,39.08128004745213,4.88185433778005,0.11855433778004976,3.801080028104612,2.7036891206509663,-1.5036425366908839
601600031376,601.600031376,18.324679348132744,14.481620336601402,-0.10951740595445159,1.6882782047318798,-18.024569669407313,-2.5955419490538323,4.8528,-0.003474,39.203478859867914,4.821176205444698,-0.031623794555302176,3.7492502615715484,2.673490794342821,-1.4973869352502125
601700031381,601.700031381,18.369895323788796,14.47705041120406,-0.11352812572277375,1.6352006481990655,-18.06159681401271,-2.589374585499541,4.5461,-0.003479,39.27796031598513,4.759945897125911,0.2138458971259114,3.6968304726217367,2.6433289285593657,-1.4898951129592035
601800031386,601.800031386,18.41309548789644,14.47167964619289,-0.11973255951113766,1.6075644752055875,-18.075575255090204,-2.587139073703046,4.5583,-0.003484,39.386386412946706,4.699369454141734,0.14106945414173389,3.645305150524549,2.6142347982057137,-1.48193590242564
601900031392,601.900031392,18.4570362070541,14.465324824660845,-0.12344549391662069,1.5563197001089537,-18.111417045133123,-2.5851285578900027,4.3358,-0.00349,39.51622299852886,4.638617387077447,0.30281738707744754,3.5938813280362902,2.5862257959907513,-1.474761544150304
602000031397,602.000031397,18.498572387106982,14.459630592797646,-0.12921229400467343,1.5309603483407703,-18.12551357620488,-2.5852128478069125,4.3945,-0.003495,39.635880941835275,4.580946013784276,0.18644601378427605,3.5425344995066377,2.5612882766246248,-1.4668445009726443
602100031402,602.100031402,18.5441167518577,14.452756524899568,-0.1354141445537682,1.4799153396923899,-18.157880600628562,-2.5849208612393135,4.4128,-0.0035,39.83906241083059,4.520240444311259,0.10744044431125932,3.4886396484480042,2.533305330627938,-1.4584255524560892
602200031407,602.200031407,18.587917053799714,14.445787469457287,-0.1401976339037112,1.452367775213178,-18.174028568527383,-2.581568520480784,4.3515,-0.003505,39.940527877922776,4.459766660132256,0.10826666013225594,3.4390044177830807,2.504582136904612,-1.4502253876297067
602300031412,602.300031412,18.63036427102463,14.437573129400809,-0.1464838936615603,1.400199275990073,-18.207815458363463,-2.577614841120094,4.1771,-0.00351,40.060243412121146,4.400185806325845,0.22308580632584452,3.387846656886259,2.4779051555125187,-1.4401098226473985
602400031418,602.400031418,18.67290934853464,14.429137251366958,-0.1524238711081076,1.3766509850562831,-18.224634674367515,-2.5762825709414154,4.0135,-0.003516,40.234615416367376,4.342249063812595,0.3287490638125954,3.3382323407331302,2.4536712658221993,-1.4316593646520919
602500031423,602.500031423,18.714900980381753,14.422029812878655,-0.1556583167320149,1.3252710334178746,-18.256172170316212,-2.56977948194051,4.1408,-0.003521,40.33474738663686,4.283752523257231,0.1429525232572315,3.2917751117145206,2.422836909638148,-1.4231398271134952
602600031428,602.600031428,18.756117191232736,14.416181413854307,-0.1594660693197037,1.3014826037439526,-18.272072602231933,-2.56752632267175,3.8829,-0.003526,40.39454031198052,4.226764474680838,0.34386447468083814,3.245846689617609,2.392005154248719,-1.4146337391023343
602700031433,602.700031433,18.799115851344176,14.411018900116892,-0.16280341236042523,1.2505973405890811,-18.30580879890808,-2.5603517933630195,3.9908,-0.003531,40.46315083840684,4.170168800303778,0.1793688003037781,3.20112634776815,2.360206998007932,-1.4059660388284014
602800031438,602.800031438,18.84252954144115,14.402390762341948,-0.16714761247209337,1.2265296981459317,-18.321764148393576,-2.556761358524435,4.0181,-0.003536,40.506374659957345,4.113387364343675,0.09528736434367513,3.1556656946672015,2.3285621679788,-1.3961892497786033
602900031444,602.900031444,18.883131227985427,14.394241129215345,-0.171440369253833,1.1774606888526522,-18.354515753845774,-2.5511535496255022,3.9924,-0.003542,40.57464312704321,4.056571390388333,0.0641713903883332,3.1098967212789215,2.299716557007444,-1.3871027307266313
603000031449,603.000031449,18.924040077340784,14.386217594677715,-0.1771754933749018,1.1555727213994549,-18.368472131270277,-2.5484816377516553,4.2857,-0.003547,40.6128794855018,4.000678498459567,-0.2850215015404336,3.0659949818714143,2.271434290342802,-1.3777568312775978
603100031454,603.100031454,18.96498703818016,14.378874579254735,-0.18224042758136397,1.111684927613668,-18.398794156050062,-2.5433911093143,3.7064,-0.003552,40.727979057402365,3.9461291069568856,0.23972910695688565,3.0208517807303013,2.248308578822295,-1.3679110015462241
603200031459,603.200031459,19.008580113531817,14.370564510260694,-0.18722003459242934,1.0871157910501932,-18.416847885611514,-2.5408127890798493,3.7476,-0.003557,40.87465423469639,3.8943732071816557,0.14677320718165587,2.9770835623946983,2.220102602454962,-1.3594936673931044
603300031465,603.300031465,19.05219073956626,14.362441671258528,-0.19268072356104252,1.0388555557346937,-18.45042710907334,-2.534506598307224,3.5199,-0.003563,40.94435715447482,3.8384411634936857,0.3185411634936859,2.9336862431860453,2.188969836706706,-1.3490481288428444
603400031470,603.40003147,19.09657308802423,14.352444307917528,-0.19793607947675665,1.0142321124214195,-18.4681165743577,-2.5305119765607387,3.8536,-0.003568,41.05842786193686,3.784649513031162,-0.06895048696883821,2.8891034054001126,2.164000161232262,-1.3396040743118913
603500031475,603.500031475,19.141883426380097,14.342394882867694,-0.203889788042936,0.9705772186267372,-18.499395090519837,-2.5235815356167612,3.662,-0.003573,41.160033705270294,3.7340430831264095,0.07204308312640961,2.8441206528404965,2.138105975986464,-1.3295988616229986
603600031480,603.60003148,19.185556601110633,14.33239403301703,-0.20883470190926617,0.9474275911186754,-18.514376627541566,-2.5217054249136504,3.4178,-0.003578,41.263000497344066,3.6820272287014295,0.26422722870142934,2.7994617296832534,2.1133768758865146,-1.321328473967541
603700031485,603.700031485,19.22751694190244,14.323696597409933,-0.21552961626556866,0.9018312787766639,-18.547638208526365,-2.51513461203498,3.4487,-0.003583,41.39606693453797,3.6300013424825446,0.18130134248254448,2.7568305244658653,2.0889441835260945,-1.3113516570541452
603800031491,603.800031491,19.268142643038956,14.31363208010399,-0.22116816667054714,0.8813252394521095,-18.56479505831901,-2.512285434437909,3.5775,-0.003589,41.50473043192981,3.57793159273049,0.00043159273048987146,2.7151938298751617,2.064551027263464,-1.30013466995863
603900031496,603.900031496,19.310632155688612,14.302913132595569,-0.22928331860079432,0.8388571578163685,-18.595983262885003,-2.5054704433910624,6.2654,-0.003594,,,,2.671250838205661,2.0456243896400013,-1.28857694154819
604000031501,604.000031501,19.353578585702596,14.290912350167426,-0.2345625307221783,0.817769472957164,-18.611906750183486,-2.5023048665261705,3.6104,-0.003599,41.92327038997043,3.477470078254289,-0.13292992174571072,2.6274742126255335,2.0232854954792976,-1.277413876775557
604100031506,604.100031506,19.397796419425674,14.2795884470053,-0.2390111095478439,0.7747726707791244,-18.647210650171335,-2.4931811817881386,3.162,-0.003604,42.04976604291269,3.4282973599940028,0.26629735999400284,2.588596412039693,1.9925178710547036,-1.266654537014762
604200031511,604.200031511,19.44120659985924,14.267238743211172,-0.24391437688133585,0.7546875256995059,-18.66043729137885,-2.492481804134072,3.12,-0.003609,42.01133948737691,3.3780399836905874,0.25803998369058734,2.5484277291122455,1.9657374673912273,-1.260321621600635
604300031517,604.300031517,19.485870908195018,14.25609005796513,-0.24859025574138527,0.7156186299380768,-18.691418136961275,-2.487181523392885,3.5419,-0.003615,42.12491157265621,3.329369766950997,-0.21253023304900287,2.5087912358765263,1.9416403678414598,-1.2522556250334347
604400031522,604.400031522,19.524718895160124,14.246383772466153,-0.25133060007047275,0.6959651696302838,-18.70924552439055,-2.4842370775812626,3.1192,-0.00362,42.2259849026546,3.2826743555242337,0.1634743555242335,2.474021714379335,1.9130998976977218,-1.244914645128251
604500031527,604.500031527,19.566480575494438,14.23612231013864,-0.2551160770722254,0.6564056173264714,-18.74018876620209,-2.4783978315405117,3.1946,-0.003625,42.29573903331448,3.2344475385893396,0.03984753858933976,2.4354602268607755,1.8862351960758135,-1.2363853785838554
